W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0.319,40.7,90.9,0.448,13.1,37.6,0.349,17.6,23.1,0.761,10.5,33.0,43.5,25.6,14.3,8.8,5.5,5.5,20.9,19.9,112.1,43.0,89.3,0.482,13.1,33.5,0.392,18.5,23.5,0.786,10.0,35.8,45.8,26.8,15.3,7.6,5.5,5.5,19.9,20.9,117.7
0.667,43.1,87.3,0.494,14.2,36.1,0.392,18.1,22.5,0.804,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19.0,18.9,118.6,41.9,91.3,0.459,13.2,36.2,0.365,17.1,22.0,0.775,10.5,32.6,43.1,24.0,12.6,7.6,4.6,5.3,18.9,19.0,114.1
0.569,39.4,86.5,0.456,11.8,30.0,0.392,16.4,20.9,0.784,9.7,35.5,45.1,21.4,12.9,7.0,5.1,5.4,20.5,17.9,107.0,37.9,86.2,0.44,12.0,35.6,0.337,16.9,22.2,0.761,9.7,34.4,44.1,23.6,12.8,6.6,5.4,5.1,17.9,20.5,104.7
0.292,38.3,89.2,0.429,10.9,31.8,0.343,16.6,21.4,0.775,10.4,35.1,45.4,21.8,12.8,6.9,4.4,5.3,17.2,18.6,104.0,42.2,89.7,0.471,13.7,36.8,0.373,15.2,19.3,0.786,9.8,37.6,47.4,26.0,12.7,7.6,5.3,4.4,18.7,17.2,113.3
0.472,43.3,91.2,0.474,12.3,34.0,0.364,16.4,20.7,0.792,9.0,33.7,42.7,27.4,13.5,8.5,6.4,5.3,20.2,18.1,115.3,42.7,91.3,0.468,11.5,31.5,0.366,18.4,23.5,0.782,11.3,35.5,46.8,26.1,14.8,7.4,5.3,6.4,18.1,20.2,115.3
0.681,41.4,86.9,0.476,11.3,30.1,0.374,19.6,25.5,0.767,10.0,35.0,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21.0,113.6,39.4,86.9,0.453,11.9,33.0,0.36,17.4,22.8,0.764,9.8,33.2,42.9,23.5,15.6,7.2,4.7,6.2,21.0,20.2,108.1
0.708,43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,115.3,40.5,86.8,0.467,11.6,32.8,0.354,16.8,21.7,0.778,9.4,33.3,42.7,22.9,13.6,6.9,3.6,4.3,18.0,19.1,109.5
0.583,41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,116.1,41.8,88.3,0.473,12.9,34.6,0.372,17.9,22.8,0.787,9.9,35.5,45.4,24.9,12.4,6.1,4.6,5.0,19.1,18.9,114.3
0.431,42.6,88.6,0.481,12.1,33.3,0.364,16.4,22.0,0.745,9.4,32.0,41.4,25.5,13.4,7.5,5.0,4.7,19.4,18.7,113.7,43.6,89.4,0.488,12.4,32.6,0.38,17.8,22.7,0.787,10.7,34.6,45.2,25.3,13.7,7.6,4.7,5.0,18.7,19.4,117.4
0.458,41.9,90.5,0.462,9.9,28.4,0.35,17.4,22.0,0.792,9.3,34.6,43.9,24.4,11.4,7.0,5.1,5.1,18.0,18.6,111.1,42.4,89.8,0.472,12.3,32.6,0.377,15.7,20.7,0.758,10.2,37.2,47.4,24.8,13.2,6.3,5.1,5.1,18.6,18.0,112.8
0.306,38.8,88.0,0.441,11.9,35.1,0.339,15.5,21.3,0.725,9.9,35.7,45.6,22.1,16.1,7.0,4.4,5.3,18.1,18.6,105.0,43.4,91.7,0.473,13.6,37.3,0.364,15.3,19.8,0.773,10.1,37.0,47.1,25.8,13.1,9.0,5.3,4.4,18.6,18.1,115.6
0.375,39.7,88.7,0.448,14.5,39.3,0.368,17.4,21.3,0.815,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,111.3,39.0,84.7,0.461,13.9,36.7,0.379,19.8,24.8,0.799,10.0,35.9,45.9,26.0,16.1,6.6,5.6,5.4,19.5,21.2,111.7
0.722,41.3,88.1,0.468,16.7,43.0,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,116.4,40.9,91.4,0.447,10.9,31.8,0.341,14.5,18.9,0.768,9.8,32.8,42.6,22.3,11.5,7.7,3.9,5.2,19.0,18.5,107.2
0.528,42.8,91.8,0.467,11.2,31.4,0.356,16.4,21.3,0.771,11.2,35.3,46.5,26.9,13.3,9.1,5.1,5.2,18.7,18.3,113.3,41.0,88.7,0.462,12.9,35.1,0.367,17.4,22.1,0.788,9.8,34.9,44.7,25.4,14.8,7.7,5.2,5.1,18.3,18.7,112.3
0.472,43.2,90.9,0.475,10.2,29.0,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,14.4,7.3,4.1,4.8,21.6,22.0,116.6,43.1,91.6,0.471,12.4,33.7,0.369,19.8,25.4,0.781,10.3,35.8,46.1,24.5,14.7,8.2,4.8,4.1,22.0,21.6,118.5
0.278,38.7,85.6,0.452,11.6,32.9,0.351,17.8,23.4,0.759,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,106.6,41.4,86.9,0.476,11.3,31.4,0.362,17.0,22.3,0.76,10.0,34.4,44.3,24.8,13.9,8.0,5.8,5.2,20.4,20.5,111.1
0.458,39.9,87.8,0.455,13.7,37.0,0.369,15.9,20.9,0.761,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18.0,18.6,109.5,41.3,88.1,0.468,14.5,39.5,0.366,14.4,19.3,0.745,10.6,34.5,45.2,27.1,14.7,8.1,4.8,4.8,18.6,18.0,111.4
